INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (1, 309635173, DATE '2022-6-3', 'Miasto_1', '45940', 'Ulica_1', '196', '14', 1);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (2, 909148024, DATE '2022-6-4', 'Miasto_2', '43268', 'Ulica_2', '166', '30', 2);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (3, 962620350, DATE '2022-6-5', 'Miasto_3', '46427', 'Ulica_3', '115', '32', 3);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (4, 440700116, DATE '2022-6-6', 'Miasto_4', '44606', 'Ulica_4', '155', '11', 4);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (5, 842571484, DATE '2022-6-7', 'Miasto_5', '47572', 'Ulica_5', '102', '18', 5);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (6, 773543644, DATE '2022-6-8', 'Miasto_6', '48782', 'Ulica_6', '92', '36', 6);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (7, 800294182, DATE '2022-6-9', 'Miasto_7', '45437', 'Ulica_7', '194', '19', 7);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (8, 374671437, DATE '2022-6-10', 'Miasto_8', '41245', 'Ulica_8', '130', '15', 8);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (9, 988195081, DATE '2022-6-11', 'Miasto_9', '49842', 'Ulica_9', '119', '37', 9);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (10, 462558696, DATE '2022-6-12', 'Miasto_10', '44705', 'Ulica_10', '94', '40', 10);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (11, 698087991, DATE '2022-6-13', 'Miasto_11', '46958', 'Ulica_11', '72', '4', 11);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (12, 411504809, DATE '2022-6-14', 'Miasto_12', '44629', 'Ulica_12', '144', '19', 12);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (13, 175901027, DATE '2022-6-15', 'Miasto_13', '47161', 'Ulica_13', '11', '27', 13);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (14, 935432026, DATE '2022-6-16', 'Miasto_14', '43088', 'Ulica_14', '175', '3', 14);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (15, 789483514, DATE '2022-6-17', 'Miasto_15', '46907', 'Ulica_15', '165', '4', 15);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (16, 660668939, DATE '2022-6-18', 'Miasto_16', '47886', 'Ulica_16', '140', '48', 16);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (17, 851792562, DATE '2022-6-19', 'Miasto_17', '46553', 'Ulica_17', '95', '31', 17);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (18, 270651474, DATE '2022-6-20', 'Miasto_18', '47299', 'Ulica_18', '112', '9', 18);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (19, 918750058, DATE '2022-6-21', 'Miasto_19', '46195', 'Ulica_19', '154', '44', 19);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (20, 652904870, DATE '2022-6-22', 'Miasto_20', '44906', 'Ulica_20', '106', '36', 20);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (21, 462898627, DATE '2022-6-23', 'Miasto_21', '41582', 'Ulica_21', '128', '27', 21);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (22, 345563247, DATE '2022-6-24', 'Miasto_22', '48524', 'Ulica_22', '107', '33', 22);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (23, 499759538, DATE '2022-6-25', 'Miasto_23', '44905', 'Ulica_23', '3', '22', 23);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (24, 624176516, DATE '2022-6-26', 'Miasto_24', '47483', 'Ulica_24', '160', '23', 24);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (25, 831147348, DATE '2022-6-27', 'Miasto_25', '44843', 'Ulica_25', '140', '2', 25);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (26, 851792665, DATE '2022-6-28', 'Miasto_26', '46045', 'Ulica_26', '141', '6', 26);
INSERT INTO dostawy (id_dostawy, nr_etykiety, data_dostawy, miasto, kod_pocztowy, ulica, numer_budynku, numer_mieszkania, zamowienia_id_zamowienia) VALUES (27, 258276320, DATE '2022-7-1', 'Miasto_27', '48394', 'Ulica_27', '46', '42', 27);
